Exemplar,num_exemps,rev_bbox,Target,Count
exemp1,4,True,SEN9_1.8_6_300-400_Test_000005_4exemps_revTrue,218.48971557617188
exemp1,2,True,SEN9_1.8_6_300-400_Test_000006_2exemps_revTrue,132.60548400878906
exemp1,4,True,SEN9_1.8_6_300-400_Test_000006_4exemps_revTrue,118.86245727539062
exemp1,2,True,SEN9_1.8_6_300-400_Test_000007_2exemps_revTrue,123.82568359375
exemp1,4,True,SEN9_1.8_6_300-400_Test_000007_4exemps_revTrue,110.84703826904297
exemp1,2,True,SEN9_1.8_6_300-400_Test_000008_2exemps_revTrue,198.4930419921875
exemp1,4,True,SEN9_1.8_6_300-400_Test_000008_4exemps_revTrue,184.04360961914062
exemp1,2,True,SEN9_1.8_6_300-400_Test_000009_2exemps_revTrue,186.13671875
exemp1,4,True,SEN9_1.8_6_300-400_Test_000009_4exemps_revTrue,320.59954833984375
exemp1,2,True,SEN9_1.8_6_300-400_Test_000010_2exemps_revTrue,192.17486572265625
exemp1,4,True,SEN9_1.8_6_300-400_Test_000010_4exemps_revTrue,198.76242065429688
exemp2,2,True,SEN9_1.8_6_300-400_Test_000011_2exemps_revTrue,129.42550659179688
exemp2,4,True,SEN9_1.8_6_300-400_Test_000011_4exemps_revTrue,25.384647369384766
exemp2,2,True,SEN9_1.8_6_300-400_Test_000002_2exemps_revTrue,256.1907958984375
exemp2,4,True,SEN9_1.8_6_300-400_Test_000002_4exemps_revTrue,58.10072708129883
exemp2,2,True,SEN9_1.8_6_300-400_Test_000003_2exemps_revTrue,335.94354248046875
exemp2,4,True,SEN9_1.8_6_300-400_Test_000003_4exemps_revTrue,67.9074935913086
exemp2,2,True,SEN9_1.8_6_300-400_Test_000004_2exemps_revTrue,359.0062561035156
exemp2,4,True,SEN9_1.8_6_300-400_Test_000004_4exemps_revTrue,88.75691986083984
exemp2,2,True,SEN9_1.8_6_300-400_Test_000005_2exemps_revTrue,221.32275390625
exemp2,4,True,SEN9_1.8_6_300-400_Test_000005_4exemps_revTrue,53.33513641357422
exemp2,2,True,SEN9_1.8_6_300-400_Test_000006_2exemps_revTrue,88.36549377441406
exemp2,4,True,SEN9_1.8_6_300-400_Test_000006_4exemps_revTrue,39.258514404296875
exemp2,2,True,SEN9_1.8_6_300-400_Test_000007_2exemps_revTrue,62.928260803222656
exemp2,4,True,SEN9_1.8_6_300-400_Test_000007_4exemps_revTrue,25.54672622680664
exemp2,2,True,SEN9_1.8_6_300-400_Test_000008_2exemps_revTrue,126.7079849243164
exemp2,4,True,SEN9_1.8_6_300-400_Test_000008_4exemps_revTrue,33.921051025390625
exemp2,2,True,SEN9_1.8_6_300-400_Test_000009_2exemps_revTrue,155.12583923339844
exemp2,4,True,SEN9_1.8_6_300-400_Test_000009_4exemps_revTrue,60.14219665527344
exemp2,2,True,SEN9_1.8_6_300-400_Test_000010_2exemps_revTrue,205.656982421875
exemp2,4,True,SEN9_1.8_6_300-400_Test_000010_4exemps_revTrue,59.51191329956055
