Exemplar,Target,Count
exemp2,12-09-22_SEN9_1.8_6_300-400_Test.781n5gky.000011_cropped.jpg,77.79214477539062
exemp2,12-09-22_SEN9_1.8_6_300-400_Test.781n5gky.000002_cropped.jpg,70.2709732055664
exemp2,12-09-22_SEN9_1.8_6_300-400_Test.781n5gky.000003_cropped.jpg,91.98301696777344
exemp2,12-09-22_SEN9_1.8_6_300-400_Test.781n5gky.000004_cropped.jpg,104.35257720947266
exemp2,12-09-22_SEN9_1.8_6_300-400_Test.781n5gky.000005_cropped.jpg,73.17778778076172
exemp2,12-09-22_SEN9_1.8_6_300-400_Test.781n5gky.000006_cropped.jpg,60.03588104248047
exemp2,12-09-22_SEN9_1.8_6_300-400_Test.781n5gky.000007_cropped.jpg,53.98489761352539
exemp2,12-09-22_SEN9_1.8_6_300-400_Test.781n5gky.000008_cropped.jpg,64.4886474609375
exemp2,12-09-22_SEN9_1.8_6_300-400_Test.781n5gky.000009_cropped.jpg,118.07157135009766
exemp2,12-09-22_SEN9_1.8_6_300-400_Test.781n5gky.000010_cropped.jpg,78.94129943847656
exemp1,12-09-22_SEN9_1.8_6_300-400_Test.781n5gky.000011_cropped.jpg,137.81777954101562
exemp1,12-09-22_SEN9_1.8_6_300-400_Test.781n5gky.000002_cropped.jpg,125.8951416015625
exemp1,12-09-22_SEN9_1.8_6_300-400_Test.781n5gky.000003_cropped.jpg,175.0239715576172
exemp1,12-09-22_SEN9_1.8_6_300-400_Test.781n5gky.000004_cropped.jpg,189.251953125
exemp1,12-09-22_SEN9_1.8_6_300-400_Test.781n5gky.000005_cropped.jpg,143.15969848632812
exemp1,12-09-22_SEN9_1.8_6_300-400_Test.781n5gky.000006_cropped.jpg,85.30082702636719
exemp1,12-09-22_SEN9_1.8_6_300-400_Test.781n5gky.000007_cropped.jpg,71.68836212158203
exemp1,12-09-22_SEN9_1.8_6_300-400_Test.781n5gky.000008_cropped.jpg,115.76661682128906
exemp1,12-09-22_SEN9_1.8_6_300-400_Test.781n5gky.000009_cropped.jpg,200.27154541015625
exemp1,12-09-22_SEN9_1.8_6_300-400_Test.781n5gky.000010_cropped.jpg,156.91990661621094
