Exemplar,Target,bubble counts
exemp1,04-25-23_SEN06_1.2_1_000-100.7dk9xc26.000004_cropped.jpg,17.12360764
exemp1,04-25-23_SEN06_1.2_1_000-100.7dk9xc26.000001_cropped.jpg,18.34864426
exemp1,04-25-23_SEN06_1.2_1_000-100.7dk9xc26.000002_cropped.jpg,17.99503899
exemp1,04-25-23_SEN06_1.2_1_000-100.7dk9xc26.000000_cropped.jpg,17.45378494
exemp1,04-25-23_SEN06_1.2_1_000-100.7dk9xc26.000006_cropped.jpg,22.25250053
exemp1,04-25-23_SEN06_1.2_1_000-100.7dk9xc26.000005_cropped.jpg,17.88204002
exemp1,04-25-23_SEN06_1.2_1_000-100.7dk9xc26.000003_cropped.jpg,14.6989727
exemp1,04-25-23_SEN06_1.2_1_000-100.7dk9xc26.000008_cropped.jpg,15.84105968
exemp1,04-25-23_SEN06_1.2_1_000-100.7dk9xc26.000009_cropped.jpg,18.92323303
exemp1,04-25-23_SEN06_1.2_1_000-100.7dk9xc26.000007_cropped.jpg,17.88634491
exemp2,04-25-23_SEN06_1.2_1_000-100.7dk9xc26.000004_cropped.jpg,10.23782158
exemp2,04-25-23_SEN06_1.2_1_000-100.7dk9xc26.000001_cropped.jpg,10.54524994
exemp2,04-25-23_SEN06_1.2_1_000-100.7dk9xc26.000002_cropped.jpg,10.89707756
exemp2,04-25-23_SEN06_1.2_1_000-100.7dk9xc26.000000_cropped.jpg,9.707012177
exemp2,04-25-23_SEN06_1.2_1_000-100.7dk9xc26.000006_cropped.jpg,12.23040771
exemp2,04-25-23_SEN06_1.2_1_000-100.7dk9xc26.000005_cropped.jpg,8.821237564
exemp2,04-25-23_SEN06_1.2_1_000-100.7dk9xc26.000003_cropped.jpg,9.176237106
exemp2,04-25-23_SEN06_1.2_1_000-100.7dk9xc26.000008_cropped.jpg,7.987243652
exemp2,04-25-23_SEN06_1.2_1_000-100.7dk9xc26.000009_cropped.jpg,9.278118134
exemp2,04-25-23_SEN06_1.2_1_000-100.7dk9xc26.000007_cropped.jpg,12.25601196
exemp1,04-25-23_SEN06_1.2_1_100-200.7dk9pad2.000178_cropped.jpg,11.00542641
exemp1,04-25-23_SEN06_1.2_1_100-200.7dk9pad2.000171_cropped.jpg,12.70499992
exemp1,04-25-23_SEN06_1.2_1_100-200.7dk9pad2.000174_cropped.jpg,9.499721527
exemp1,04-25-23_SEN06_1.2_1_100-200.7dk9pad2.000176_cropped.jpg,8.691329956
exemp1,04-25-23_SEN06_1.2_1_100-200.7dk9pad2.000172_cropped.jpg,13.81040573
exemp1,04-25-23_SEN06_1.2_1_100-200.7dk9pad2.000173_cropped.jpg,13.15723801
exemp1,04-25-23_SEN06_1.2_1_100-200.7dk9pad2.000175_cropped.jpg,8.372166634
exemp1,04-25-23_SEN06_1.2_1_100-200.7dk9pad2.000179_cropped.jpg,8.301052094
exemp1,04-25-23_SEN06_1.2_1_100-200.7dk9pad2.000170_cropped.jpg,12.42260551
exemp1,04-25-23_SEN06_1.2_1_100-200.7dk9pad2.000177_cropped.jpg,8.612873077
exemp2,04-25-23_SEN06_1.2_1_100-200.7dk9pad2.000178_cropped.jpg,6.174688339
exemp2,04-25-23_SEN06_1.2_1_100-200.7dk9pad2.000171_cropped.jpg,6.498328209
exemp2,04-25-23_SEN06_1.2_1_100-200.7dk9pad2.000174_cropped.jpg,4.838004112
exemp2,04-25-23_SEN06_1.2_1_100-200.7dk9pad2.000176_cropped.jpg,4.968436241
exemp2,04-25-23_SEN06_1.2_1_100-200.7dk9pad2.000172_cropped.jpg,8.283642769
exemp2,04-25-23_SEN06_1.2_1_100-200.7dk9pad2.000173_cropped.jpg,8.41810894
exemp2,04-25-23_SEN06_1.2_1_100-200.7dk9pad2.000175_cropped.jpg,4.765617371
exemp2,04-25-23_SEN06_1.2_1_100-200.7dk9pad2.000179_cropped.jpg,5.364943027
exemp2,04-25-23_SEN06_1.2_1_100-200.7dk9pad2.000170_cropped.jpg,7.73644352
exemp2,04-25-23_SEN06_1.2_1_100-200.7dk9pad2.000177_cropped.jpg,5.940556526
exemp1,04-25-23_SEN06_1.2_1_200-300.7dk9hg5n.000019_cropped.jpg,11.56669331
exemp1,04-25-23_SEN06_1.2_1_200-300.7dk9hg5n.000020_cropped.jpg,20.47988701
exemp1,04-25-23_SEN06_1.2_1_200-300.7dk9hg5n.000021_cropped.jpg,30.06193542
exemp1,04-25-23_SEN06_1.2_1_200-300.7dk9hg5n.000014_cropped.jpg,20.50027084
exemp1,04-25-23_SEN06_1.2_1_200-300.7dk9hg5n.000018_cropped.jpg,12.71024609
exemp1,04-25-23_SEN06_1.2_1_200-300.7dk9hg5n.000015_cropped.jpg,13.58979321
exemp1,04-25-23_SEN06_1.2_1_200-300.7dk9hg5n.000023_cropped.jpg,27.97553635
exemp1,04-25-23_SEN06_1.2_1_200-300.7dk9hg5n.000017_cropped.jpg,20.6424675
exemp1,04-25-23_SEN06_1.2_1_200-300.7dk9hg5n.000016_cropped.jpg,14.90961075
exemp1,04-25-23_SEN06_1.2_1_200-300.7dk9hg5n.000022_cropped.jpg,33.51200104
exemp2,04-25-23_SEN06_1.2_1_200-300.7dk9hg5n.000019_cropped.jpg,6.388869762
exemp2,04-25-23_SEN06_1.2_1_200-300.7dk9hg5n.000020_cropped.jpg,10.25782204
exemp2,04-25-23_SEN06_1.2_1_200-300.7dk9hg5n.000021_cropped.jpg,17.90815353
exemp2,04-25-23_SEN06_1.2_1_200-300.7dk9hg5n.000014_cropped.jpg,12.17842484
exemp2,04-25-23_SEN06_1.2_1_200-300.7dk9hg5n.000018_cropped.jpg,7.830189705
exemp2,04-25-23_SEN06_1.2_1_200-300.7dk9hg5n.000015_cropped.jpg,8.030208588
exemp2,04-25-23_SEN06_1.2_1_200-300.7dk9hg5n.000023_cropped.jpg,18.21984863
exemp2,04-25-23_SEN06_1.2_1_200-300.7dk9hg5n.000017_cropped.jpg,11.06532097
exemp2,04-25-23_SEN06_1.2_1_200-300.7dk9hg5n.000016_cropped.jpg,9.400047302
exemp2,04-25-23_SEN06_1.2_1_200-300.7dk9hg5n.000022_cropped.jpg,17.73853302
exemp1,04-25-23_SEN06_1.2_1_300-400.7dk9a7h1.000465_cropped.jpg,10.79874134
exemp1,04-25-23_SEN06_1.2_1_300-400.7dk9a7h1.000467_cropped.jpg,14.85688019
exemp1,04-25-23_SEN06_1.2_1_300-400.7dk9a7h1.000461_cropped.jpg,24.120924
exemp1,04-25-23_SEN06_1.2_1_300-400.7dk9a7h1.000462_cropped.jpg,12.29813004
exemp1,04-25-23_SEN06_1.2_1_300-400.7dk9a7h1.000464_cropped.jpg,9.977562904
exemp1,04-25-23_SEN06_1.2_1_300-400.7dk9a7h1.000460_cropped.jpg,17.96724319
exemp1,04-25-23_SEN06_1.2_1_300-400.7dk9a7h1.000466_cropped.jpg,11.69968796
exemp1,04-25-23_SEN06_1.2_1_300-400.7dk9a7h1.000459_cropped.jpg,14.19052029
exemp1,04-25-23_SEN06_1.2_1_300-400.7dk9a7h1.000463_cropped.jpg,9.455471039
exemp1,04-25-23_SEN06_1.2_1_300-400.7dk9a7h1.000458_cropped.jpg,17.71393967
exemp2,04-25-23_SEN06_1.2_1_300-400.7dk9a7h1.000465_cropped.jpg,5.880620956
exemp2,04-25-23_SEN06_1.2_1_300-400.7dk9a7h1.000467_cropped.jpg,7.966938972
exemp2,04-25-23_SEN06_1.2_1_300-400.7dk9a7h1.000461_cropped.jpg,11.18959618
exemp2,04-25-23_SEN06_1.2_1_300-400.7dk9a7h1.000462_cropped.jpg,7.327627182
exemp2,04-25-23_SEN06_1.2_1_300-400.7dk9a7h1.000464_cropped.jpg,5.897540569
exemp2,04-25-23_SEN06_1.2_1_300-400.7dk9a7h1.000460_cropped.jpg,8.610783577
exemp2,04-25-23_SEN06_1.2_1_300-400.7dk9a7h1.000466_cropped.jpg,7.16019249
exemp2,04-25-23_SEN06_1.2_1_300-400.7dk9a7h1.000459_cropped.jpg,8.474422455
exemp2,04-25-23_SEN06_1.2_1_300-400.7dk9a7h1.000463_cropped.jpg,6.646688461
exemp2,04-25-23_SEN06_1.2_1_300-400.7dk9a7h1.000458_cropped.jpg,10.73340034
exemp1,01-24-23_SEN07_1.8_1_200-300.79vhpc8o.000014_cropped.jpg,132.1600494
exemp1,01-24-23_SEN07_1.8_1_200-300.79vhpc8o.000016_cropped.jpg,97.1784668
exemp1,01-24-23_SEN07_1.8_1_200-300.79vhpc8o.000017_cropped.jpg,94.53569031
exemp1,01-24-23_SEN07_1.8_1_200-300.79vhpc8o.000013_cropped.jpg,98.7015686
exemp1,01-24-23_SEN07_1.8_1_200-300.79vhpc8o.000015_cropped.jpg,101.1153412
exemp1,01-24-23_SEN07_1.8_1_200-300.79vhpc8o.000011_cropped.jpg,163.1702576
exemp1,01-24-23_SEN07_1.8_1_200-300.79vhpc8o.000012_cropped.jpg,131.1114197
exemp1,01-24-23_SEN07_1.8_1_200-300.79vhpc8o.000010_cropped.jpg,159.9473877
exemp1,01-24-23_SEN07_1.8_1_200-300.79vhpc8o.000008_cropped.jpg,86.95606995
exemp1,01-24-23_SEN07_1.8_1_200-300.79vhpc8o.000009_cropped.jpg,92.68241119
exemp2,01-24-23_SEN07_1.8_1_200-300.79vhpc8o.000014_cropped.jpg,44.88079834
exemp2,01-24-23_SEN07_1.8_1_200-300.79vhpc8o.000016_cropped.jpg,41.49353027
exemp2,01-24-23_SEN07_1.8_1_200-300.79vhpc8o.000017_cropped.jpg,35.6141243
exemp2,01-24-23_SEN07_1.8_1_200-300.79vhpc8o.000013_cropped.jpg,40.34750748
exemp2,01-24-23_SEN07_1.8_1_200-300.79vhpc8o.000015_cropped.jpg,38.18350601
exemp2,01-24-23_SEN07_1.8_1_200-300.79vhpc8o.000011_cropped.jpg,79.80435181
exemp2,01-24-23_SEN07_1.8_1_200-300.79vhpc8o.000012_cropped.jpg,48.10684586
exemp2,01-24-23_SEN07_1.8_1_200-300.79vhpc8o.000010_cropped.jpg,65.99839783
exemp2,01-24-23_SEN07_1.8_1_200-300.79vhpc8o.000008_cropped.jpg,36.48523712
exemp2,01-24-23_SEN07_1.8_1_200-300.79vhpc8o.000009_cropped.jpg,29.58523941
exemp1,04-04-23_SEN08_1.2_6_300-400.7d7humxt.000044_cropped.jpg,9.073928833
exemp1,04-04-23_SEN08_1.2_6_300-400.7d7humxt.000045_cropped.jpg,7.445146084
exemp1,04-04-23_SEN08_1.2_6_300-400.7d7humxt.000046_cropped.jpg,6.551919937
exemp1,04-04-23_SEN08_1.2_6_300-400.7d7humxt.000047_cropped.jpg,9.672679901
exemp1,04-04-23_SEN08_1.2_6_300-400.7d7humxt.000048_cropped.jpg,9.197813988
exemp1,04-04-23_SEN08_1.2_6_300-400.7d7humxt.000049_cropped.jpg,6.781356812
exemp1,04-04-23_SEN08_1.2_6_300-400.7d7humxt.000050_cropped.jpg,5.547371864
exemp1,04-04-23_SEN08_1.2_6_300-400.7d7humxt.000051_cropped.jpg,10.48080635
exemp1,04-04-23_SEN08_1.2_6_300-400.7d7humxt.000052_cropped.jpg,8.870732307
exemp1,04-04-23_SEN08_1.2_6_300-400.7d7humxt.000053_cropped.jpg,6.273446083
exemp2,04-04-23_SEN08_1.2_6_300-400.7d7humxt.000044_cropped.jpg,4.526875019
exemp2,04-04-23_SEN08_1.2_6_300-400.7d7humxt.000045_cropped.jpg,4.378530502
exemp2,04-04-23_SEN08_1.2_6_300-400.7d7humxt.000046_cropped.jpg,4.007881641
exemp2,04-04-23_SEN08_1.2_6_300-400.7d7humxt.000047_cropped.jpg,4.438247204
exemp2,04-04-23_SEN08_1.2_6_300-400.7d7humxt.000048_cropped.jpg,3.940943718
exemp2,04-04-23_SEN08_1.2_6_300-400.7d7humxt.000049_cropped.jpg,4.103663445
exemp2,04-04-23_SEN08_1.2_6_300-400.7d7humxt.000050_cropped.jpg,3.319801331
exemp2,04-04-23_SEN08_1.2_6_300-400.7d7humxt.000051_cropped.jpg,4.496222496
exemp2,04-04-23_SEN08_1.2_6_300-400.7d7humxt.000052_cropped.jpg,4.72778511
exemp2,04-04-23_SEN08_1.2_6_300-400.7d7humxt.000053_cropped.jpg,3.931361675
exemp1,12-02-22_SEN9_1.8_1_000-100.77rnm0bm.000052_cropped.jpg,85.83750916
exemp1,12-02-22_SEN9_1.8_1_000-100.77rnm0bm.000051_cropped.jpg,112.1249466
exemp1,12-02-22_SEN9_1.8_1_000-100.77rnm0bm.000053_cropped.jpg,84.65760803
exemp1,12-02-22_SEN9_1.8_1_000-100.77rnm0bm.000054_cropped.jpg,62.37543488
exemp1,12-02-22_SEN9_1.8_1_000-100.77rnm0bm.000059_cropped.jpg,100.7620697
exemp1,12-02-22_SEN9_1.8_1_000-100.77rnm0bm.000055_cropped.jpg,85.63310242
exemp1,12-02-22_SEN9_1.8_1_000-100.77rnm0bm.000050_cropped.jpg,73.83379364
exemp1,12-02-22_SEN9_1.8_1_000-100.77rnm0bm.000056_cropped.jpg,70.40057373
exemp1,12-02-22_SEN9_1.8_1_000-100.77rnm0bm.000057_cropped.jpg,81.59479523
exemp1,12-02-22_SEN9_1.8_1_000-100.77rnm0bm.000058_cropped.jpg,84.05335999
exemp2,12-02-22_SEN9_1.8_1_000-100.77rnm0bm.000052_cropped.jpg,40.58351517
exemp2,12-02-22_SEN9_1.8_1_000-100.77rnm0bm.000051_cropped.jpg,58.82167816
exemp2,12-02-22_SEN9_1.8_1_000-100.77rnm0bm.000053_cropped.jpg,45.8640213
exemp2,12-02-22_SEN9_1.8_1_000-100.77rnm0bm.000054_cropped.jpg,35.26955414
exemp2,12-02-22_SEN9_1.8_1_000-100.77rnm0bm.000059_cropped.jpg,51.16622543
exemp2,12-02-22_SEN9_1.8_1_000-100.77rnm0bm.000055_cropped.jpg,31.57982826
exemp2,12-02-22_SEN9_1.8_1_000-100.77rnm0bm.000050_cropped.jpg,31.26353073
exemp2,12-02-22_SEN9_1.8_1_000-100.77rnm0bm.000056_cropped.jpg,29.90224075
exemp2,12-02-22_SEN9_1.8_1_000-100.77rnm0bm.000057_cropped.jpg,36.91428757
exemp2,12-02-22_SEN9_1.8_1_000-100.77rnm0bm.000058_cropped.jpg,44.8515625
exemp1,12-09-22_SEN9_1.8_6_200-300_Test.781ne9yj.000057_cropped.jpg,148.8722382
exemp1,12-09-22_SEN9_1.8_6_200-300_Test.781ne9yj.000059_cropped.jpg,78.64427185
exemp1,12-09-22_SEN9_1.8_6_200-300_Test.781ne9yj.000055_cropped.jpg,139.2401733
exemp1,12-09-22_SEN9_1.8_6_200-300_Test.781ne9yj.000054_cropped.jpg,249.5970459
exemp1,12-09-22_SEN9_1.8_6_200-300_Test.781ne9yj.000058_cropped.jpg,140.9632568
exemp1,12-09-22_SEN9_1.8_6_200-300_Test.781ne9yj.000056_cropped.jpg,129.0155334
exemp1,12-09-22_SEN9_1.8_6_200-300_Test.781ne9yj.000052_cropped.jpg,180.9498291
exemp1,12-09-22_SEN9_1.8_6_200-300_Test.781ne9yj.000051_cropped.jpg,138.7360229
exemp1,12-09-22_SEN9_1.8_6_200-300_Test.781ne9yj.000053_cropped.jpg,264.8407593
exemp1,12-09-22_SEN9_1.8_6_200-300_Test.781ne9yj.000050_cropped.jpg,214.0977478
exemp2,12-09-22_SEN9_1.8_6_200-300_Test.781ne9yj.000057_cropped.jpg,96.98068237
exemp2,12-09-22_SEN9_1.8_6_200-300_Test.781ne9yj.000059_cropped.jpg,52.08833313
exemp2,12-09-22_SEN9_1.8_6_200-300_Test.781ne9yj.000055_cropped.jpg,87.6856308
exemp2,12-09-22_SEN9_1.8_6_200-300_Test.781ne9yj.000054_cropped.jpg,121.904892
exemp2,12-09-22_SEN9_1.8_6_200-300_Test.781ne9yj.000058_cropped.jpg,81.12902832
exemp2,12-09-22_SEN9_1.8_6_200-300_Test.781ne9yj.000056_cropped.jpg,73.95345306
exemp2,12-09-22_SEN9_1.8_6_200-300_Test.781ne9yj.000052_cropped.jpg,89.83602905
exemp2,12-09-22_SEN9_1.8_6_200-300_Test.781ne9yj.000051_cropped.jpg,75.19673157
exemp2,12-09-22_SEN9_1.8_6_200-300_Test.781ne9yj.000053_cropped.jpg,120.7419586
exemp2,12-09-22_SEN9_1.8_6_200-300_Test.781ne9yj.000050_cropped.jpg,130.0677185
exemp1,12-09-22_SEN9_1.8_6_300-400_Test.781n5gky.000010_cropped.jpg,161.4361877
exemp1,12-09-22_SEN9_1.8_6_300-400_Test.781n5gky.000008_cropped.jpg,129.1937256
exemp1,12-09-22_SEN9_1.8_6_300-400_Test.781n5gky.000009_cropped.jpg,153.2881775
exemp1,12-09-22_SEN9_1.8_6_300-400_Test.781n5gky.000002_cropped.jpg,98.36535645
exemp1,12-09-22_SEN9_1.8_6_300-400_Test.781n5gky.000006_cropped.jpg,88.24317169
exemp1,12-09-22_SEN9_1.8_6_300-400_Test.781n5gky.000004_cropped.jpg,179.7268066
exemp1,12-09-22_SEN9_1.8_6_300-400_Test.781n5gky.000005_cropped.jpg,123.1947327
exemp1,12-09-22_SEN9_1.8_6_300-400_Test.781n5gky.000003_cropped.jpg,194.4855347
exemp1,12-09-22_SEN9_1.8_6_300-400_Test.781n5gky.000001_cropped.jpg,88.78649139
exemp1,12-09-22_SEN9_1.8_6_300-400_Test.781n5gky.000011_cropped.jpg,127.3389893
exemp1,12-09-22_SEN9_1.8_6_300-400_Test.781n5gky.000007_cropped.jpg,67.0475769
exemp2,12-09-22_SEN9_1.8_6_300-400_Test.781n5gky.000010_cropped.jpg,78.25317383
exemp2,12-09-22_SEN9_1.8_6_300-400_Test.781n5gky.000008_cropped.jpg,68.08448792
exemp2,12-09-22_SEN9_1.8_6_300-400_Test.781n5gky.000009_cropped.jpg,111.0981369
exemp2,12-09-22_SEN9_1.8_6_300-400_Test.781n5gky.000002_cropped.jpg,72.39801788
exemp2,12-09-22_SEN9_1.8_6_300-400_Test.781n5gky.000006_cropped.jpg,71.39341736
exemp2,12-09-22_SEN9_1.8_6_300-400_Test.781n5gky.000004_cropped.jpg,110.8315735
exemp2,12-09-22_SEN9_1.8_6_300-400_Test.781n5gky.000005_cropped.jpg,69.34630585
exemp2,12-09-22_SEN9_1.8_6_300-400_Test.781n5gky.000003_cropped.jpg,94.91423035
exemp2,12-09-22_SEN9_1.8_6_300-400_Test.781n5gky.000001_cropped.jpg,58.21343994
exemp2,12-09-22_SEN9_1.8_6_300-400_Test.781n5gky.000011_cropped.jpg,84.0859375
exemp2,12-09-22_SEN9_1.8_6_300-400_Test.781n5gky.000007_cropped.jpg,51.55833054
